Scenario,Analysis
"Lufthansa LH441 from Frankfurt to New York delayed 4 hours due to technical malfunction on March 15, 2024. Passenger seeks compensation.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline technical issue<br>CONFIDENCE: 95%"
"Ryanair FR8542 Dublin to Barcelona delayed 6 hours due to severe thunderstorm with airport closure on July 10, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - severe weather beyond airline control<br>CONFIDENCE: 98%"
"British Airways BA178 London to Paris delayed 2.5 hours due to crew shortage on June 5, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Delay under 3 hours, no compensation required<br>CONFIDENCE: 92%"
"Air France AF83 Paris to Tokyo delayed 5 hours due to technical problem on August 12, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €600<br>REASON: Long-haul flight delayed >3 hours due to airline fault<br>CONFIDENCE: 96%"
"United Airlines UA900 Los Angeles to Chicago, passenger involuntarily denied boarding, next available flight 4 hours later. Original ticket cost $350.","ELIGIBLE: Yes<br>REGULATION: DOT<br>AMOUNT: $700<br>REASON: Involuntary denied boarding with >2 hour delay, 200% of ticket price<br>CONFIDENCE: 94%"
"Delta flight DL123 Atlanta to Miami cancelled due to hurricane warning, passenger rebooked next day.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: Weather cancellation, only refund required<br>CONFIDENCE: 89%"
"Air Canada AC88 Toronto to Vancouver delayed 4 hours due to crew scheduling issue on May 20, 2024.","ELIGIBLE: Yes<br>REGULATION: APPR<br>AMOUNT: CAD $400<br>REASON: Domestic flight delayed >3 hours due to airline control<br>CONFIDENCE: 91%"
"KLM KL456 Amsterdam to Berlin delayed 5 hours due to air traffic control strike on May 15, 2024.","ELIGIBLE: No<br>REGULATION: EU261<br>AMOUNT: €0<br>REASON: Extraordinary circumstances - ATC strike beyond airline control<br>CONFIDENCE: 89%"
"EasyJet EZY123 London to Rome delayed 3.5 hours due to mechanical problem on April 20, 2024.","ELIGIBLE: Yes<br>REGULATION: EU261<br>AMOUNT: €400<br>REASON: Medium-haul flight delayed >3 hours due to airline fault<br>CONFIDENCE: 94%"
"American Airlines AA789 Dallas to Phoenix seeking volunteers for denied boarding, passenger accepted $400 voucher.","ELIGIBLE: No<br>REGULATION: DOT<br>AMOUNT: $0<br>REASON: Voluntary denied boarding with compensation already provided<br>CONFIDENCE: 91%"
